Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff
621179,1386394,2023-01-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2486,1.0311,1.1451,0,"1,14","1,15","10480,251311","99,48","545,0256",0,1900-01-01,0.2175,-0.9276,-0.6825,-0.002
621953,1387942,2023-01-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2753,1.0111,1.1465,0,"1,14","1,15","10485,843219","99,48","542,9513",0,1900-01-01,0.2642,-0.8823000000000001,-0.6358,0.0014
622727,1389490,2023-01-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.241,1.0397,1.148,0,"1,14","1,15","10491,368526","99,47","541,3634",0,1900-01-01,0.2013,-0.9467,-0.6987,0.0014999999999998
623501,1391038,2023-01-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2387,1.0461,1.1482,0,"1,14","1,15","10497,05363","99,47","541,0881",0,1900-01-01,0.1925999999999998,-0.9556000000000002,-0.7074000000000001,0.0002000000000002
624275,1392586,2023-01-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2455,1.041,1.1488,0,"1,15","1,15","10502,644123","99,47","540,8956",0,1900-01-01,0.2045000000000001,-0.9443,-0.6954999999999999,0.0005999999999999
625049,1394134,2023-01-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2388,1.041,1.1494,0,"1,15","1,15","10508,277844","99,47","540,3129",0,1900-01-01,0.1977999999999999,-0.9516,-0.7022,0.0005999999999999
625823,1395682,2023-01-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2515,1.041,1.1491,0,"1,15","1,15","10514,129456","99,47","539,5945",0,1900-01-01,0.2105000000000001,-0.9386,-0.6894999999999999,-0.0002999999999999
626596,1397228,2023-01-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.24,1.0461,1.1492,0,"1,15","1,15","10519,87066","99,47","539,1134",0,1900-01-01,0.1938999999999999,-0.9553,-0.7061000000000001,9.9999999999989e-05
627369,1398774,2023-01-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2863,1.0742,1.1457,"0,03","1,11","1,18","10526,404984","99,48","538,7454",0,1900-01-01,0.2120999999999999,-0.9336,-0.6879000000000001,-0.0035
628142,1400320,2023-01-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3474,1.0383,1.1619,"0,07","1,09","1,23","10528,635088","99,45","537,6523",35,1900-01-01,0.3090999999999999,-0.8528,-0.5909000000000001,0.0161999999999999
628915,1401864,2023-01-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4097,1.0471,1.1722,"0,07","1,1","1,24","10532,285315","99,43","535,7094",10,1900-01-01,0.3626,-0.8095999999999999,-0.5374,0.0102999999999999
629686,1403406,2023-01-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3917,1.053,1.1919,"0,08","1,11","1,27","10533,709695","99,39","535,1631",5,1900-01-01,0.3387,-0.8532,-0.5613,0.0197
630457,1404948,2023-01-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4104,1.0755,1.2079,"0,07","1,13","1,28","10536,027147","99,36","534,103",0,1900-01-01,0.3349000000000002,-0.8729999999999998,-0.5650999999999998,0.016
631228,1406486,2023-01-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4127,1.0856,1.2128,"0,07","1,14","1,29","10540,837762","99,35","532,8078",0,1900-01-01,0.3271000000000001,-0.8856999999999999,-0.5728999999999999,0.0049000000000001
631995,1407253,2023-01-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4164,1.0884,1.219,"0,07","1,15","1,29","10545,405252","99,34","531,2446",0,1900-01-01,0.328,-0.891,-0.572,0.0061999999999999
632761,1408785,2023-01-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4296,1.1456,1.2397,"0,1","1,14","1,34","10546,774507","99,3","529,8838",0,1900-01-01,0.284,-0.9557,-0.616,0.0206999999999999
633527,1410317,2023-01-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4625,1.15,1.2659,"0,1","1,17","1,36","10546,865657","99,24","529,1751",0,1900-01-01,0.3125,-0.9534,-0.5875,0.0262
634293,1411849,2023-01-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4605,1.151,1.2913,"0,08","1,22","1,37","10547,139496","99,19","528,5195",35,1900-01-01,0.3094999999999999,-0.9818,-0.5905000000000001,0.0253999999999998
635059,1413386,2023-01-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4315,1.15,1.2849,"0,08","1,21","1,36","10554,461289","99,21","527,3332",10,1900-01-01,0.2815000000000001,-1.0033999999999998,-0.6184999999999999,-0.0063999999999999
635830,1414927,2023-01-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4426,1.1533,1.2804,"0,07","1,21","1,35","10561,414167","99,22","525,8511",5,1900-01-01,0.2893000000000001,-0.9911,-0.6106999999999999,-0.0044999999999999
636600,1416467,2023-01-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.449,1.1595,1.2781,"0,07","1,21","1,35","10567,826871","99,22","524,7574",0,1900-01-01,0.2895000000000001,-0.9886,-0.6104999999999999,-0.0022999999999999
637370,1418007,2023-01-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4431,1.1525,1.2811,"0,07","1,21","1,35","10573,037609","99,22","523,9938",0,1900-01-01,0.2905999999999999,-0.9905,-0.6094,0.0029999999999998
638140,1419547,2023-02-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4434,1.1528,1.281,"0,07","1,21","1,35","10579,021535","99,22","522,6275",0,1900-01-01,0.2905999999999999,-0.9904,-0.6094,-9.9999999999989e-05
638910,1421086,2023-02-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4434,1.1528,1.2827,"0,07","1,21","1,35","10584,604695","99,22","521,3507",0,1900-01-01,0.2905999999999999,-0.9921,-0.6094,0.0017
639679,1422624,2023-02-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4692,1.1883,1.3006,"0,1","1,2","1,4","10586,810145","99,19","519,3662",0,1900-01-01,0.2809000000000001,-1.0196999999999998,-0.6190999999999999,0.0179
640448,1424158,2023-02-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4686,1.1951,1.3171,"0,1","1,22","1,41","10589,188064","99,15","518,2978",0,1900-01-01,0.2734999999999998,-1.0436,-0.6265000000000002,0.0164999999999999
641213,1425688,2023-02-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5129,1.1974,1.3418,"0,13","1,22","1,47","10589,722355","99,11","517,7593",0,1900-01-01,0.3154999999999999,-1.0263000000000002,-0.5845000000000001,0.0247000000000001
641977,1427216,2023-02-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5202,1.2035,1.3525,"0,13","1,23","1,48","10593,190681","99,08","517,6772",0,1900-01-01,0.3167,-1.0358,-0.5833,0.0106999999999999
642741,1428744,2023-02-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5528,1.208,1.3775,"0,12","1,26","1,5","10593,776178","99,04","516,6349",0,1900-01-01,0.3448,-1.0327,-0.5552,0.0249999999999999
643505,1430271,2023-02-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5619,1.2055,1.3912,"0,12","1,27","1,51","10596,811849","99,01","515,5569",0,1900-01-01,0.3564,-1.0348,-0.5436,0.0137
644268,1431797,2023-02-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7061,1.2155,1.4183,"0,14","1,28","1,56","10597,079792","98,96","514,09",0,1900-01-01,0.4905999999999999,-0.9277,-0.4094000000000001,0.0270999999999999
645031,1433323,2023-02-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8595,1.1971,1.447,"0,12","1,33","1,57","10596,853757","98,9","513,4467",0,1900-01-01,0.6623999999999999,-0.7846000000000002,-0.2376000000000001,0.0287000000000001
645793,1434846,2023-02-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8284,1.2198,1.5159,"0,12","1,4","1,64","9867,766082","98,68","550,8073",35,1900-01-01,0.6086,-0.9073,-0.2914,0.0688999999999999
