Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
621255,1386470,2023-01-02,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.8703,1.6442,1.7704,"0,02","1,75","1,79","1068,802954","101,03","1148,6",5,1900-01-01,0.22609999999999997,-1.5443,-1.7739
622029,1388018,2023-01-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.8668,1.6521,1.7726,"0,04","1,73","1,81","1069,253977","101,01","1141,1138",0,1900-01-01,0.2147000000000001,-1.5578999999999998,-1.7852999999999999
622803,1389566,2023-01-04,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.8514,1.6469,1.7661,"0,02","1,75","1,78","1070,13883","101,04","1135,9279",0,1900-01-01,0.2044999999999999,-1.5616,-1.7955
623577,1391114,2023-01-05,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.85,1.6555,1.7704,"0,04","1,73","1,81","1070,617864","101,02","1141,629",0,1900-01-01,0.19450000000000012,-1.5758999999999999,-1.8054999999999999
624351,1392662,2023-01-06,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.85,1.65,1.7689,"0,04","1,73","1,81","1071,366265","101,04","1146,7372",0,1900-01-01,0.20000000000000018,-1.5688999999999997,-1.7999999999999998
625125,1394210,2023-01-09,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.8607,1.6407,1.7699,"0,02","1,75","1,79","1071,961984","101,03","1148,3093",35,1900-01-01,0.21999999999999997,-1.5499,-1.78
625899,1395758,2023-01-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.85,1.65,1.7656,"0,02","1,75","1,78","1072,833642","101,06","1152,116",10,1900-01-01,0.20000000000000018,-1.5655999999999999,-1.7999999999999998
626672,1397304,2023-01-11,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.85,1.6554,1.7651,"0,04","1,73","1,8","1073,529147","101,06","1156,4255",5,1900-01-01,0.1946000000000001,-1.5704999999999998,-1.8054
627445,1398850,2023-01-12,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.8491,1.5385,1.7737,"0,04","1,74","1,81","1073,78297","101,03","1160,5544",35,1900-01-01,0.3106,-1.4631,-1.6894
628218,1400396,2023-01-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9477,1.3888,1.7671,"0,07","1,7","1,83","1074,702538","101,05","1157,4835",10,1900-01-01,0.5589,-1.2082,-1.4411
628991,1401940,2023-01-16,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0513,1.3618,1.7627,"0,1","1,66","1,87","1075,458034","101,07","1148,6698",5,1900-01-01,0.6895,-1.0732,-1.3105
629762,1403482,2023-01-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0013,1.3859,1.7749,"0,11","1,66","1,89","1075,522499","101,01","1150,7104",0,1900-01-01,0.6154000000000002,-1.1594999999999998,-1.3845999999999998
630533,1405024,2023-01-18,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0369,1.6286,1.8059,"0,1","1,71","1,9","1074,636018","100,87","1147,371",0,1900-01-01,0.4083000000000001,-1.3976,-1.5917
631304,1406562,2023-01-19,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0322,1.6486,1.8325,"0,1","1,73","1,93","1073,961661","100,75","1143,0376",0,1900-01-01,0.38359999999999994,-1.4489,-1.6164
632071,1407329,2023-01-20,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9375,1.6534,1.8301,"0,1","1,73","1,93","1074,645057","100,75","1134,4427",0,1900-01-01,0.2841,-1.546,-1.7159
632837,1408861,2023-01-23,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9139,1.6527,1.818,"0,09","1,72","1,91","1075,814156","100,8","1129,8683",0,1900-01-01,0.2611999999999999,-1.5568000000000002,-1.7388000000000001
633603,1410393,2023-01-24,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9027,1.6746,1.8045,"0,06","1,74","1,87","1077,103357","100,86","1132,3292",0,1900-01-01,0.22809999999999997,-1.5764,-1.7719
634369,1411925,2023-01-25,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.911,1.6861,1.8046,"0,07","1,74","1,87","1077,756411","100,87","1135,5123",0,1900-01-01,0.2249000000000001,-1.5796999999999999,-1.7751
635136,1413463,2023-01-26,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9123,1.7066,1.8078,"0,05","1,76","1,86","1078,217879","100,85","1133,2274",0,1900-01-01,0.20570000000000022,-1.6020999999999999,-1.7942999999999998
635907,1415004,2023-01-27,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9143,1.7258,1.8108,"0,05","1,77","1,86","1078,661979","100,83","1127,4609",0,1900-01-01,0.1884999999999999,-1.6223,-1.8115
636677,1416544,2023-01-30,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9241,1.7241,1.8163,"0,05","1,77","1,86","1079,026403","100,81","1126,3965",0,1900-01-01,0.19999999999999996,-1.6163,-1.8
637447,1418084,2023-01-31,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,1.9314,1.7028,1.8209,"0,05","1,77","1,87","1079,452687","100,79","1127,8281",0,1900-01-01,0.22859999999999991,-1.5923,-1.7714
638217,1419624,2023-02-01,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0311,1.6967,1.8296,"0,07","1,76","1,9","1079,642065","100,75","1123,3523",0,1900-01-01,0.3343999999999998,-1.4952,-1.6656000000000002
638987,1421163,2023-02-02,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0377,1.6975,1.8337,"0,07","1,76","1,91","1080,085689","100,73","1123,8888",35,1900-01-01,0.34020000000000006,-1.4935,-1.6598
639756,1422701,2023-02-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0213,1.6904,1.8407,"0,08","1,76","1,92","1080,32652","100,69","1114,5814",10,1900-01-01,0.3309000000000002,-1.5097999999999998,-1.6690999999999998
640525,1424235,2023-02-06,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0743,1.7054,1.8869,"0,15","1,73","2,04","1078,793521","100,49","1113,4213",5,1900-01-01,0.3689,-1.518,-1.6311
641290,1425765,2023-02-07,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.1418,1.7879,1.9405,"0,14","1,8","2,08","1076,91891","100,26","1111,1394",0,1900-01-01,0.3538999999999999,-1.5866,-1.6461000000000001
642054,1427293,2023-02-08,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.2093,1.7997,2.0076,"0,16","1,85","2,17","1074,429458","99,97","1113,2101",0,1900-01-01,0.40959999999999974,-1.5980000000000003,-1.5904000000000003
642818,1428821,2023-02-09,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.3233,1.9583,2.0497,"0,15","1,9","2,2","1073,115051","99,79","1106,3513",0,1900-01-01,0.3650000000000002,-1.6846999999999999,-1.6349999999999998
643582,1430348,2023-02-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.3083,1.9633,2.0964,"0,22","1,87","2,32","1071,592947","99,59","1104,8999",0,1900-01-01,0.345,-1.7514,-1.655
644345,1431874,2023-02-13,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4154,2.0884,2.182,"0,27","1,91","2,45","1068,300403","99,22","1102,0923",0,1900-01-01,0.32699999999999996,-1.855,-1.673
645108,1433400,2023-02-14,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6426,2.1118,2.2735,"0,26","2,01","2,54","1064,769835","98,84","1098,9565",0,1900-01-01,0.5307999999999997,-1.7427000000000001,-1.4692000000000003
645870,1434923,2023-02-15,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6387,2.0992,2.358,"0,25","2,11","2,61","983,541076","98,35","1190,6559",0,1900-01-01,0.5394999999999999,-1.8185000000000002,-1.4605000000000001
646631,1436445,2023-02-16,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.603,2.1093,2.3552,"0,26","2,1","2,61","984,29766","98,37","1186,8439",0,1900-01-01,0.4937,-1.8615,-1.5063
647392,1439489,2023-02-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6665,2.1382,2.3643,"0,25","2,11","2,62","984,421391","98,33","1189,6486",0,1900-01-01,0.5283000000000002,-1.8359999999999999,-1.4716999999999998
648153,1441011,2023-02-22,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5933,2.0786,2.3679,"0,26","2,11","2,62","984,875445","98,31","1186,7272",0,1900-01-01,0.5147000000000004,-1.8531999999999997,-1.4852999999999996
648914,1442538,2023-02-23,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6349,2.0984,2.3917,"0,14","2,25","2,53","984,39017","98,21","1185,3201",0,1900-01-01,0.5365000000000002,-1.8552,-1.4634999999999998
649680,1444070,2023-02-24,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.71,2.1764,2.402,"0,09","2,31","2,5","984,594857","98,17","1179,0821",0,1900-01-01,0.5335999999999999,-1.8684000000000003,-1.4664000000000001
650446,1445602,2023-02-27,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.7029,2.1552,2.4423,"0,06","2,38","2,5","983,259352","97,98","1184,4102",35,1900-01-01,0.5477000000000003,-1.8945999999999996,-1.4522999999999997
651212,1447134,2023-02-28,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6707,2.1403,2.4169,"0,15","2,27","2,56","985,042233","98,1","1181,1591",10,1900-01-01,0.5304000000000002,-1.8864999999999998,-1.4695999999999998
651978,1448666,2023-03-01,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.644,2.1095,2.4049,"0,07","2,33","2,48","986,232493","98,16","1176,7943",40,1900-01-01,0.5345,-1.8704,-1.4655
652744,1450198,2023-03-02,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.6388,2.1007,2.3842,"0,06","2,32","2,44","987,816885","98,26","1172,1342",10,1900-01-01,0.5381,-1.8460999999999999,-1.4619
