Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
621282,1386497,2023-01-02,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2754,1.1371,1.2197,"0,03","1,19","1,25","1009,026069","100,39","625,4807",0,1900-01-01,0.1383000000000001,-1.0814,-1.2416999999999998
622056,1388045,2023-01-03,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2619,1.1295,1.1944,"0,03","1,16","1,23","1010,20166","100,45","623,0412",35,1900-01-01,0.13240000000000007,-1.0619999999999998,-1.2475999999999998
622830,1389593,2023-01-04,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2754,1.1371,1.2085,"0,04","1,17","1,25","1010,408996","100,42","621,1478",10,1900-01-01,0.1383000000000001,-1.0701999999999998,-1.2416999999999998
623604,1391141,2023-01-05,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2614,1.1399,1.2063,"0,04","1,17","1,25","1011,032128","100,42","621,2725",5,1900-01-01,0.12150000000000016,-1.0847999999999998,-1.2584999999999997
624378,1392689,2023-01-06,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2419,1.1396,1.2017,"0,04","1,16","1,24","1011,71566","100,43","621,5201",0,1900-01-01,0.10230000000000006,-1.0994,-1.2776999999999998
625152,1394237,2023-01-09,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.245,1.1254,1.1966,"0,05","1,15","1,24","1012,407637","100,45","621,1586",0,1900-01-01,0.11960000000000015,-1.077,-1.2603999999999997
625926,1395785,2023-01-10,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2401,1.1333,1.1932,"0,04","1,15","1,23","1013,057585","100,46","620,7343",0,1900-01-01,0.1068,-1.0864,-1.2731999999999999
626699,1397331,2023-01-11,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2443,1.091,1.1925,"0,04","1,15","1,24","1013,642907","100,46","620,5219",0,1900-01-01,0.1533,-1.0392,-1.2267
627472,1398877,2023-01-12,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2664,1.0627,1.1943,"0,04","1,15","1,24","1014,168016","100,45","620,4579",0,1900-01-01,0.2037,-0.9905999999999999,-1.1763
628245,1400423,2023-01-13,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.2779,1.0568,1.2004,"0,05","1,15","1,25","1014,579411","100,44","619,2814",0,1900-01-01,0.22110000000000007,-0.9792999999999998,-1.1588999999999998
629018,1401967,2023-01-16,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.4171,1.0341,1.2119,"0,07","1,15","1,28","1014,850431","100,41","616,8475",0,1900-01-01,0.383,-0.8289,-0.9969999999999999
629789,1403509,2023-01-17,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.3863,1.0571,1.2362,"0,04","1,2","1,27","1014,823179","100,35","616,5335",0,1900-01-01,0.32920000000000016,-0.9069999999999998,-1.0507999999999997
630560,1405051,2023-01-18,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.3825,1.0678,1.3511,"0,04","1,31","1,39","1012,579207","100,07","615,0822",35,1900-01-01,0.3147,-1.0364,-1.0653
631331,1406589,2023-01-19,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.3986,1.1231,1.3035,"0,09","1,21","1,39","1014,306623","100,18","613,755",10,1900-01-01,0.2755000000000001,-1.028,-1.1044999999999998
632098,1407356,2023-01-20,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.5323,1.1933,1.3115,"0,1","1,21","1,41","1014,676511","100,16","611,7927",5,1900-01-01,0.33899999999999997,-0.9725000000000001,-1.041
632864,1408888,2023-01-23,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.5686,1.2581,1.3297,"0,11","1,22","1,44","1014,801476","100,12","610,2609",0,1900-01-01,0.3105,-1.0192,-1.0695
633630,1410420,2023-01-24,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.4814,1.2471,1.3492,"0,07","1,28","1,42","1014,898509","100,07","609,7473",0,1900-01-01,0.23429999999999995,-1.1149,-1.1457
634396,1411952,2023-01-25,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.4938,1.25,1.3606,"0,03","1,33","1,39","1015,192582","100,05","609,3448",0,1900-01-01,0.24380000000000002,-1.1168,-1.1361999999999999
635163,1413490,2023-01-26,EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA SA (*) (**),2026-12-20,1.38,di_spread,1.4886,1.2506,1.3556,"0,1","1,26","1,45","1015,883387","100,06","608,1178",0,1900-01-01,0.238,-1.1176,-1.142
