Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff
143382,215452,2019-07-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.892,0.76,0.8527,"0,04","0,81","0,89","10286,185886","100,23","1235,3",0,1900-01-01,0.132,-0.7207,-0.768,
143715,215785,2019-07-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8925,0.7625,0.8449,"0,02","0,82","0,87","10292,922265","100,27","1232,52",0,1900-01-01,0.13,-0.7149,-0.77,-0.0078
144048,216118,2019-07-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9,0.75,0.844,"0,03","0,81","0,88","10296,244536","100,27","1231,32",35,1900-01-01,0.15,-0.694,-0.75,-0.0009
144381,216451,2019-07-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8914,0.7428,0.8352,"0,03","0,8","0,87","10303,537406","100,31","1231,37",10,1900-01-01,0.1485999999999999,-0.6866000000000001,-0.7514000000000001,-0.0087999999999999
144714,216784,2019-07-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.9,0.75,0.8328,"0,03","0,8","0,87","10307,602551","100,33","1230,04",5,1900-01-01,0.15,-0.6828,-0.75,-0.0024
145047,217117,2019-07-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8885,0.7714,0.837,"0,01","0,82","0,85","10308,396465","100,31","1229,44",0,1900-01-01,0.1170999999999999,-0.7199,-0.7829,0.0041999999999999
145380,217450,2019-07-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8885,0.7714,0.8427,"0,01","0,83","0,86","10308,476734","100,28","1230,2",0,1900-01-01,0.1170999999999999,-0.7256,-0.7829,0.0057
145713,217783,2019-07-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8828,0.8,0.8428,"0,02","0,82","0,87","10311,327354","100,28","1230,02",0,1900-01-01,0.0827999999999999,-0.76,-0.8172,9.9999999999989e-05
146045,218115,2019-07-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.88,0.8,0.8374,"0,02","0,81","0,86","10316,852419","100,3","1227,05",0,1900-01-01,0.0799999999999999,-0.7574000000000001,-0.8200000000000001,-0.0053999999999999
146377,218447,2019-07-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,0.8842,0.7999,0.8352,"0,01","0,83","0,84","10320,851744","100,31","1226,92",0,1900-01-01,0.0842999999999999,-0.7509000000000001,-0.8157000000000001,-0.0021999999999999
