Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,ti_diff,AnoMes
669485,1483711,2023-04-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.891,1.5754,1.7132,"0,01","1,7","1,73","10002,220647","98,35","521,2115",10,1900-01-01,0.3156000000000001,-1.3976,-0.5843999999999999,-0.0014999999999998,-0.0014999999999998348,2023-04
670251,1485243,2023-04-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8877,1.5744,1.7065,"0,03","1,68","1,73","10009,368097","98,37","520,1194",5,1900-01-01,0.3132999999999999,-1.3932,-0.5867000000000001,-0.0067000000000001,-0.00670000000000015,2023-04
671017,1486775,2023-04-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8839,1.5631,1.7021,"0,03","1,67","1,73","10015,973269","98,38","519,2636",0,1900-01-01,0.3208,-1.3813,-0.5792,-0.0043999999999999,-0.0043999999999999595,2023-04
671783,1489073,2023-04-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9326,1.5837,1.6952,"0,04","1,66","1,73","10023,216268","98,4","517,996",0,1900-01-01,0.3489,-1.3463,-0.5511,-0.0068999999999999,-0.006899999999999906,2023-04
672549,1490604,2023-04-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8877,1.5615,1.6897,"0,05","1,64","1,74","10030,054962","98,41","517,1126",0,1900-01-01,0.3261999999999998,-1.3635000000000002,-0.5738000000000002,-0.0055,-0.00550000000000006,2023-04
673314,1492134,2023-04-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8811,1.5422,1.6832,"0,04","1,64","1,73","10036,873124","98,42","516,957",0,1900-01-01,0.3389,-1.3443,-0.5611,-0.0064999999999999,-0.00649999999999995,2023-04
674079,1493664,2023-04-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8332,1.5521,1.679,"0,04","1,63","1,72","10043,513848","98,44","515,8691",0,1900-01-01,0.2810999999999999,-1.3979,-0.6189000000000001,-0.0041999999999999,-0.0041999999999999815,2023-04
674844,1495193,2023-04-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8516,1.5621,1.6821,"0,06","1,63","1,74","10048,649008","98,43","514,8766",0,1900-01-01,0.2894999999999998,-1.3926,-0.6105000000000002,0.0030999999999998,0.0030999999999998806,2023-04
675608,1496721,2023-04-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.8933,1.5767,1.6909,"0,06","1,63","1,75","10052,758904","98,42","513,4952",0,1900-01-01,0.3166,-1.3743,-0.5834,0.0088000000000001,0.008800000000000141,2023-04
676372,1498248,2023-04-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.91,1.606,1.7032,"0,03","1,67","1,74","10056,086017","98,4","512,3957",0,1900-01-01,0.3039999999999998,-1.3992000000000002,-0.5960000000000002,0.0122999999999999,0.012299999999999978,2023-04
677135,1499774,2023-04-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.9817,1.6194,1.718,"0,03","1,69","1,75","10058,988964","98,37","511,0895",0,1900-01-01,0.3623,-1.3557,-0.5377,0.0147999999999999,0.014799999999999924,2023-04
677898,1501300,2023-04-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.0179,1.624,1.7344,"0,07","1,67","1,8","10061,648997","98,35","509,5962",0,1900-01-01,0.3938999999999999,-1.3405,-0.5061000000000001,0.0163999999999999,0.01639999999999997,2023-04
678661,1503589,2023-04-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,2.0405,1.6384,1.7465,"0,06","1,69","1,81","10064,869433","98,32","509,0607",0,1900-01-01,0.4021000000000001,-1.3443999999999998,-0.4978999999999999,0.0121,0.0121,2023-04
