Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_detrended,taxaIndicativa_no_season,taxaIndicativa_diff,AnoTrimestre
872575,1823315,2024-04-01,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6474,1.3763,1.5307,"0,04","1,49","1,57","1036,753876","102,1",1137,0,1900-01-01,0.2710999999999999,-1.2596,-1.7289,0.029001666666666814,1.5283010151938368,0.028200000000000003,2024Q2
873489,1824229,2024-04-02,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6438,1.3835,1.5153,"0,02","1,5","1,54","1037,913211","102,16",1135,0,1900-01-01,0.2603,-1.255,-1.7397,0.014191666666666825,1.5125038017715158,-0.015399999999999858,2024Q2
874403,1825143,2024-04-03,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6366,1.3796,1.5089,"0,02","1,49","1,53","1038,676852","102,19",1134,0,1900-01-01,0.2570000000000001,-1.2518999999999998,-1.743,0.008139999999999814,1.5074586994603056,-0.006400000000000183,2024Q2
875318,1826058,2024-04-04,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6314,1.3765,1.5007,"0,01","1,49","1,51","1039,53673","102,22",1133,0,1900-01-01,0.2548999999999999,-1.2458,-1.7451,0.00010833333333315487,1.497207930482429,-0.008199999999999985,2024Q2
876231,1826971,2024-04-05,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6276,1.3779,1.5073,"0,02","1,48","1,53","1039,656127","102,19",1129,0,1900-01-01,0.2497,-1.2576,-1.7503,0.007020000000000248,1.5037982726156636,0.006600000000000161,2024Q2
877145,1827885,2024-04-08,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6318,1.375,1.5034,"0,02","1,49","1,52","1040,320266","102,2",1128,0,1900-01-01,0.2567999999999999,-1.2466000000000002,-1.7432,0.0036249999999999893,1.4966523925266757,-0.0039000000000000146,2024Q2
878058,1828798,2024-04-09,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6237,1.3766,1.496,"0,01","1,48","1,51","1041,177146","102,24",1129,0,1900-01-01,0.2470999999999998,-1.2489,-1.7529,-0.003114999999999979,1.495160136093602,-0.007400000000000073,2024Q2
878971,1829711,2024-04-10,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6125,1.3837,1.4952,"0,01","1,48","1,51","1041,60288","102,23",1124,0,1900-01-01,0.2288000000000001,-1.2664,-1.7712,-0.0034833333333330607,1.497881350924896,-0.0007999999999999119,2024Q2
879882,1833355,2024-04-11,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6139,1.3983,1.4969,"0,02","1,47","1,52","1041,981509","102,22",1122,0,1900-01-01,0.2155999999999998,-1.2813,-1.7844000000000002,-0.00182333333333351,1.506216676867301,0.0016999999999998128,2024Q2
880793,1834266,2024-04-12,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6104,1.3763,1.4989,"0,02","1,48","1,52","1042,353416","102,21",1120,0,1900-01-01,0.2340999999999999,-1.2648,-1.7659,0.00022833333333327488,1.507263780587484,0.0020000000000000018,2024Q2
881703,1835176,2024-04-15,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6201,1.3845,1.4959,"0,02","1,47","1,52","1042,874836","102,21",1114,0,1900-01-01,0.2356,-1.2603,-1.7644,-0.0023733333333333384,1.5048083287521115,-0.0029999999999998916,2024Q2
882605,1836078,2024-04-16,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6165,1.3673,1.4876,"0,02","1,46","1,51","1043,590261","102,23",1107,0,1900-01-01,0.2492000000000001,-1.2384,-1.7508,-0.010071666666666701,1.4974792219002888,-0.008299999999999974,2024Q2
883511,1836984,2024-04-17,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6036,1.3693,1.4852,"0,02","1,47","1,5","1044,210705","102,24",1107,0,1900-01-01,0.2342999999999999,-1.2509,-1.7657,-0.01225833333333326,1.495709340947908,-0.0023999999999999577,2024Q2
884408,1837881,2024-04-18,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6057,1.3574,1.486,"0,02","1,47","1,5","1044,685544","102,24",1108,0,1900-01-01,0.2482999999999999,-1.2377,-1.7517,-0.011661666666666681,1.5005567219002889,0.0007999999999999119,2024Q2
885311,1838784,2024-04-19,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.6315,1.3713,1.5051,"0,03","1,48","1,53","1044,385453","102,16",1110,0,1900-01-01,0.2602,-1.2449,-1.7398,0.007838333333333392,1.5188574361860034,0.019100000000000117,2024Q2
886211,1839684,2024-04-22,CSAN23,COSAN S.A. (*),2031-08-15,2.0,di_spread,1.63,1.3742,1.5012,0,"1,5","1,5","1045,045658","102,18",1109,0,1900-01-01,0.2557999999999998,-1.2454000000000005,-1.7442000000000002,0.005408333333333459,1.5137462457098128,-0.0039000000000000146,2024Q2
